EmployeeID,Age,Gender,Department,JobRole,EducationLevel,MaritalStatus,Location,MonthlyIncome,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,PerformanceRating,WorkLifeBalance,JobSatisfaction,TrainingTimesLastYear,OverTime,Attrition,HireDate,LastWorkingDate
58,58,Male,IT,Specialist,PhD,Divorced,Hyderabad,21542,13,12,7,1,2,1,1,No,No,2018-10-30,
59,49,Other,R&D,Manager,Bachelors,Married,Mumbai,74693,18,7,0,3,2,4,0,No,Yes,2019-10-26,2023-02-22
60,24,Male,IT,Executive,PhD,Married,Bangalore,186981,18,12,5,5,3,3,9,No,No,2022-04-25,
61,23,Other,IT,Associate,High School,Divorced,Hyderabad,106188,12,1,9,1,4,4,7,Yes,Yes,2013-03-23,2020-05-03
62,21,Other,Marketing,Analyst,High School,Divorced,Delhi,59298,12,11,8,1,3,4,0,Yes,No,2015-07-21,
63,26,Other,Marketing,Analyst,High School,Married,Pune,56395,12,12,4,2,4,2,4,No,No,2023-04-10,
64,55,Female,IT,Manager,Bachelors,Single,Hyderabad,181426,19,8,1,2,3,1,0,No,Yes,2016-02-09,2020-02-18
65,23,Female,R&D,Executive,Masters,Single,Pune,170159,10,11,9,4,4,4,7,No,No,2022-05-31,
66,28,Other,Operations,Analyst,High School,Married,Bangalore,29337,3,9,7,5,2,4,1,Yes,Yes,2018-04-04,2018-04-17
67,56,Male,R&D,Associate,High School,Divorced,Mumbai,40159,16,8,0,2,1,4,2,No,No,2013-09-10,
68,25,Other,Sales,Engineer,High School,Divorced,Pune,70990,1,9,7,3,2,2,4,Yes,No,2015-02-10,
69,21,Other,HR,Associate,High School,Married,Mumbai,120497,14,0,4,1,2,3,8,No,No,2011-05-24,
70,33,Other,Finance,Manager,High School,Divorced,Pune,171456,1,8,2,5,3,1,4,Yes,No,2020-09-23,
71,37,Female,IT,Manager,Bachelors,Married,Chennai,118142,4,5,2,3,1,3,4,No,No,2020-12-28,
72,39,Other,Marketing,Manager,Masters,Married,Delhi,164528,13,8,0,5,3,1,3,Yes,No,2017-03-14,
73,52,Male,R&D,Associate,PhD,Single,Chennai,112193,7,6,9,3,2,2,5,No,No,2014-02-06,
74,32,Male,Sales,Associate,Bachelors,Divorced,Chennai,194016,11,4,8,5,1,4,6,No,No,2015-12-26,
75,22,Other,Sales,Executive,Bachelors,Single,Bangalore,73682,6,5,1,3,2,2,1,No,No,2017-04-05,
76,54,Female,Operations,Analyst,Bachelors,Divorced,Chennai,114456,5,0,7,5,3,4,6,No,No,2015-10-15,
77,49,Male,Operations,Specialist,Masters,Single,Mumbai,190883,9,7,0,2,2,1,3,No,No,2017-02-17,
78,22,Male,R&D,Manager,Masters,Single,Pune,89836,10,10,2,2,3,1,6,Yes,No,2013-03-25,
79,36,Male,R&D,Engineer,Bachelors,Divorced,Mumbai,44071,3,7,3,4,4,1,2,No,Yes,2017-07-10,2020-02-08
80,52,Female,Finance,Manager,Bachelors,Married,Hyderabad,95697,18,2,4,4,1,2,9,Yes,No,2011-01-15,
81,21,Other,Operations,Associate,Masters,Divorced,Mumbai,124680,11,9,1,3,1,2,9,No,Yes,2022-11-14,2023-01-04
82,42,Other,Sales,Executive,Masters,Divorced,Delhi,161550,10,14,0,1,2,4,0,Yes,Yes,2011-09-02,2012-11-19
83,35,Other,Sales,Analyst,High School,Single,Bangalore,151374,13,9,6,4,2,4,1,No,No,2023-10-27,
84,27,Other,Sales,Engineer,Masters,Single,Delhi,156194,14,6,1,1,2,2,2,No,Yes,2017-04-25,2022-04-23
85,57,Female,HR,Executive,PhD,Single,Pune,161339,9,6,8,2,1,3,5,No,Yes,2014-02-10,2020-02-24
86,37,Female,Operations,Manager,Masters,Married,Pune,154668,19,8,3,5,2,3,8,No,Yes,2011-02-23,2015-05-19
87,42,Female,HR,Specialist,High School,Married,Chennai,32910,7,7,0,4,4,3,9,Yes,Yes,2019-04-22,2020-06-10
88,46,Male,Marketing,Executive,Bachelors,Married,Mumbai,68447,1,10,7,5,3,1,5,No,No,2016-01-11,
89,42,Other,Finance,Manager,Bachelors,Married,Pune,136421,5,6,3,5,2,3,7,No,No,2016-01-11,
90,51,Male,Marketing,Analyst,Masters,Married,Delhi,24324,3,7,5,1,2,4,3,Yes,Yes,2019-11-27,2022-06-08
91,50,Female,R&D,Manager,High School,Divorced,Delhi,33234,1,14,7,4,2,3,4,Yes,No,2020-08-29,
92,39,Male,HR,Manager,Bachelors,Married,Chennai,196659,16,11,0,3,2,2,5,No,No,2020-11-22,
93,56,Female,HR,Associate,High School,Married,Chennai,125292,10,2,0,5,2,2,7,Yes,Yes,2019-01-30,2019-11-15
94,22,Female,Finance,Analyst,PhD,Married,Bangalore,136748,7,1,3,5,1,3,4,Yes,Yes,2021-08-04,2021-08-30
95,35,Female,Marketing,Executive,Bachelors,Single,Chennai,99767,5,6,2,4,2,3,0,No,Yes,2016-02-08,2023-12-20
96,34,Male,Operations,Manager,PhD,Divorced,Bangalore,87444,10,8,1,4,4,3,2,No,No,2015-05-11,
97,49,Female,IT,Engineer,Masters,Married,Bangalore,28007,10,8,4,3,2,4,2,Yes,No,2013-04-14,
98,34,Female,IT,Specialist,PhD,Divorced,Bangalore,145501,3,8,9,5,1,2,7,No,No,2016-05-03,
99,52,Male,R&D,Executive,Masters,Married,Bangalore,163026,5,0,6,2,3,3,0,Yes,No,2012-10-17,
100,22,Other,Operations,Executive,High School,Divorced,Chennai,169453,7,7,2,1,3,3,5,No,No,2019-07-01,
101,28,Other,HR,Executive,Bachelors,Single,Chennai,100910,14,12,0,1,4,2,6,No,No,2017-05-01,
102,53,Other,Marketing,Specialist,High School,Married,Delhi,64028,4,10,6,3,1,2,3,No,No,2015-10-20,
103,30,Female,Marketing,Associate,High School,Married,Hyderabad,194944,5,12,3,4,1,4,3,No,No,2020-01-22,
104,25,Male,R&D,Specialist,Masters,Single,Mumbai,146108,14,3,1,2,3,3,2,No,No,2020-01-02,
105,47,Female,Finance,Manager,High School,Single,Bangalore,91315,10,13,9,2,4,2,5,No,No,2021-03-11,
106,32,Female,Operations,Associate,Masters,Single,Bangalore,93319,17,8,0,1,3,4,3,No,No,2014-02-23,
107,57,Male,Sales,Specialist,PhD,Married,Pune,124263,9,0,9,4,1,2,2,No,No,2018-01-19,
108,42,Female,Operations,Associate,Bachelors,Single,Bangalore,198954,0,13,4,4,1,2,3,Yes,No,2018-12-11,
109,35,Female,IT,Engineer,Masters,Divorced,Chennai,88244,14,8,4,3,1,2,3,No,No,2012-01-20,
110,55,Male,HR,Associate,PhD,Married,Hyderabad,176222,19,8,9,3,3,2,1,No,No,2011-10-10,
111,47,Other,Marketing,Associate,PhD,Divorced,Bangalore,56368,10,10,2,5,2,4,8,No,No,2012-04-30,
112,44,Male,Operations,Analyst,High School,Married,Delhi,66240,16,12,5,1,2,4,1,No,No,2016-10-28,
113,40,Male,Sales,Manager,PhD,Single,Delhi,39816,16,3,5,3,2,4,7,No,Yes,2015-11-11,2017-05-25
114,33,Other,Marketing,Specialist,PhD,Married,Pune,193021,18,10,7,5,3,2,0,Yes,No,2018-04-06,
115,39,Male,Sales,Manager,PhD,Divorced,Bangalore,169521,0,13,2,5,3,2,1,No,No,2022-07-16,
116,50,Other,Marketing,Associate,High School,Single,Hyderabad,58565,18,14,3,3,1,4,6,No,No,2013-02-02,
117,30,Other,IT,Engineer,Masters,Divorced,Hyderabad,151026,13,1,0,4,3,3,1,No,No,2011-03-08,
118,23,Other,HR,Associate,Masters,Married,Pune,50678,7,5,8,4,3,1,2,No,No,2020-11-06,
119,28,Other,Sales,Specialist,Masters,Divorced,Delhi,84929,2,7,7,1,2,3,3,No,No,2015-01-06,
120,34,Male,Sales,Executive,PhD,Single,Mumbai,86358,15,1,6,3,2,3,0,Yes,Yes,2021-09-19,2022-08-17
121,39,Other,Operations,Analyst,Masters,Married,Chennai,164931,17,1,0,3,3,1,3,No,Yes,2018-11-26,2020-07-08
122,23,Female,Sales,Manager,High School,Single,Chennai,122870,11,3,4,1,1,2,8,No,No,2016-11-10,
123,42,Male,Finance,Engineer,Masters,Single,Bangalore,168843,16,9,7,5,3,2,6,No,No,2012-07-16,
124,37,Other,Finance,Engineer,High School,Divorced,Pune,22573,8,7,1,4,1,1,6,Yes,No,2017-03-27,
125,24,Other,Marketing,Engineer,Bachelors,Married,Pune,75961,12,1,6,2,1,3,5,No,No,2016-03-06,
126,56,Female,Sales,Engineer,Masters,Divorced,Bangalore,51653,1,0,4,2,1,2,9,No,Yes,2023-07-12,2023-07-14
127,42,Male,IT,Engineer,Masters,Single,Delhi,71226,5,10,7,1,2,4,8,No,Yes,2019-06-09,2022-03-10
128,37,Female,Finance,Manager,PhD,Married,Delhi,55737,13,1,5,4,3,1,2,Yes,No,2020-07-18,
129,49,Male,Sales,Manager,PhD,Divorced,Bangalore,77492,10,7,3,2,1,3,6,No,No,2022-06-23,
130,44,Male,R&D,Associate,High School,Single,Hyderabad,24853,4,7,0,5,2,4,3,Yes,No,2023-03-23,
131,37,Other,Operations,Associate,Masters,Divorced,Delhi,141789,12,10,1,5,1,2,1,Yes,No,2022-06-08,
132,37,Female,Finance,Engineer,PhD,Divorced,Chennai,74912,10,7,9,2,1,3,2,No,Yes,2016-06-13,2021-01-05
133,50,Female,Finance,Associate,Masters,Married,Mumbai,40581,1,11,2,5,1,4,0,Yes,No,2015-08-16,
134,32,Male,Operations,Associate,Bachelors,Married,Pune,152413,15,7,2,3,4,3,4,No,No,2017-03-13,
135,36,Female,Sales,Analyst,Masters,Married,Mumbai,78053,7,8,1,5,1,4,9,Yes,No,2013-10-05,
136,52,Female,R&D,Executive,Bachelors,Divorced,Pune,57641,15,6,0,3,3,2,4,No,No,2017-03-25,
137,35,Male,Marketing,Manager,PhD,Single,Chennai,159892,6,8,2,4,4,4,1,No,No,2017-04-30,
138,51,Other,Operations,Manager,PhD,Married,Delhi,71571,6,2,1,5,3,2,6,Yes,No,2018-04-29,
139,55,Female,Finance,Executive,Masters,Divorced,Delhi,55435,12,1,2,5,1,3,7,No,No,2023-06-30,
140,59,Female,Sales,Analyst,PhD,Married,Bangalore,114071,16,3,5,3,1,1,1,No,No,2010-12-29,
141,22,Male,Marketing,Executive,PhD,Married,Bangalore,143618,9,1,6,1,1,1,1,No,No,2011-10-07,
142,59,Male,Sales,Executive,Masters,Divorced,Delhi,127309,19,12,0,1,1,2,4,No,No,2010-11-12,
143,30,Male,Operations,Specialist,Bachelors,Divorced,Bangalore,125373,6,3,4,3,1,2,0,Yes,No,2020-10-05,
144,50,Other,Marketing,Analyst,Masters,Married,Pune,185873,3,1,4,1,1,4,0,No,No,2016-02-26,
145,35,Other,Operations,Executive,High School,Single,Mumbai,142744,3,11,9,3,1,1,4,Yes,Yes,2016-12-13,2022-06-10
146,44,Female,Operations,Specialist,Bachelors,Divorced,Hyderabad,180829,12,1,8,2,3,4,3,Yes,No,2017-03-09,
147,30,Female,R&D,Manager,High School,Divorced,Chennai,60042,1,8,9,2,1,1,9,No,No,2013-05-22,
148,25,Female,Operations,Manager,High School,Divorced,Pune,93781,14,6,0,4,1,3,3,No,No,2012-10-10,
149,55,Male,R&D,Manager,Bachelors,Single,Pune,176497,16,7,2,3,4,3,5,No,Yes,2021-03-12,2023-02-27
150,45,Male,R&D,Analyst,Masters,Single,Hyderabad,122979,13,4,1,1,3,1,7,Yes,No,2012-08-28,
151,29,Male,Marketing,Executive,Masters,Married,Delhi,37602,1,11,9,1,1,3,7,No,Yes,2013-06-03,2020-11-06
152,54,Male,HR,Specialist,Masters,Divorced,Pune,45559,14,5,7,4,3,1,9,No,No,2018-12-26,
153,33,Other,Operations,Analyst,High School,Single,Delhi,61755,4,12,0,2,2,4,2,No,No,2023-11-03,
154,54,Female,Operations,Engineer,Masters,Divorced,Bangalore,91719,12,12,0,2,2,4,2,No,No,2012-06-10,
155,33,Female,HR,Associate,High School,Divorced,Hyderabad,184202,12,8,4,5,2,4,5,Yes,No,2018-10-30,
156,51,Male,Operations,Engineer,Masters,Single,Pune,67638,9,9,4,3,2,3,1,No,No,2022-12-20,
157,49,Female,Marketing,Associate,Masters,Single,Delhi,111659,6,1,0,5,1,1,7,Yes,No,2011-11-06,
158,44,Female,HR,Analyst,Bachelors,Single,Bangalore,83852,2,5,2,3,2,3,9,No,No,2021-11-17,
159,48,Other,Finance,Associate,Bachelors,Single,Chennai,111357,4,12,5,4,4,4,3,Yes,No,2016-01-09,
160,37,Female,HR,Specialist,Masters,Single,Bangalore,143797,16,9,5,5,1,2,9,Yes,No,2023-10-17,
161,34,Other,Marketing,Analyst,Bachelors,Single,Delhi,188639,14,12,3,3,3,3,3,No,No,2017-12-23,
162,31,Other,Marketing,Specialist,High School,Divorced,Pune,195136,5,14,2,4,3,2,6,No,Yes,2010-08-13,2018-08-04
163,49,Other,Marketing,Executive,Bachelors,Divorced,Chennai,143395,16,2,8,3,3,3,6,No,No,2016-10-13,
164,52,Male,HR,Engineer,High School,Divorced,Bangalore,98797,19,5,2,1,1,2,7,No,No,2015-07-11,
165,36,Male,Operations,Engineer,High School,Single,Mumbai,179674,19,5,2,5,1,1,2,No,No,2019-12-21,
166,58,Male,Marketing,Manager,PhD,Single,Delhi,171054,1,12,2,3,4,1,8,No,No,2011-04-06,
167,36,Female,Finance,Analyst,Masters,Divorced,Chennai,105530,7,11,8,2,1,1,4,Yes,No,2019-04-19,
168,27,Other,Marketing,Engineer,High School,Divorced,Hyderabad,102879,11,4,7,4,4,2,2,Yes,No,2012-03-18,
169,50,Male,IT,Specialist,Masters,Divorced,Hyderabad,31536,11,3,3,5,1,2,8,Yes,No,2018-04-04,
170,22,Male,Marketing,Engineer,Masters,Divorced,Delhi,74615,7,10,0,2,4,1,1,No,No,2011-10-24,
171,51,Male,Operations,Specialist,Masters,Divorced,Hyderabad,126661,10,12,8,3,1,4,5,No,No,2020-06-21,
172,44,Other,HR,Engineer,Masters,Married,Pune,194480,11,8,5,3,2,4,3,No,No,2019-07-27,
173,53,Female,Sales,Associate,Bachelors,Single,Chennai,69153,0,0,8,2,1,2,0,No,No,2021-02-15,
174,59,Male,R&D,Engineer,Masters,Divorced,Hyderabad,128737,5,6,9,1,2,2,1,No,No,2023-01-15,
175,31,Female,R&D,Specialist,Bachelors,Single,Hyderabad,77660,2,10,5,2,1,2,8,Yes,Yes,2012-07-04,2016-06-22
176,32,Male,Marketing,Engineer,Bachelors,Single,Chennai,122215,17,11,3,2,2,3,6,No,No,2019-10-01,
177,26,Other,HR,Analyst,Bachelors,Married,Mumbai,179033,2,14,8,1,4,2,1,Yes,No,2018-03-11,
178,33,Other,HR,Specialist,Bachelors,Divorced,Mumbai,152632,12,2,9,3,3,3,3,No,No,2011-12-03,
179,52,Other,R&D,Engineer,High School,Married,Pune,134994,11,1,5,4,2,3,5,No,No,2023-11-20,
180,23,Female,Marketing,Associate,High School,Divorced,Hyderabad,99561,18,2,5,5,3,3,0,No,No,2023-01-24,
181,41,Female,Operations,Executive,Bachelors,Married,Delhi,79321,19,4,3,3,4,4,3,No,Yes,2013-09-26,2023-12-17
182,52,Other,IT,Manager,High School,Married,Bangalore,92099,1,3,1,1,3,2,3,No,No,2018-01-23,
183,32,Female,Finance,Executive,Masters,Single,Delhi,199436,17,7,4,5,3,1,2,No,No,2023-07-04,
184,50,Female,R&D,Executive,High School,Single,Chennai,162633,11,13,1,3,3,1,4,Yes,No,2013-07-21,
185,34,Female,R&D,Engineer,High School,Married,Mumbai,55046,19,1,6,1,2,1,8,No,No,2011-11-17,
186,57,Other,R&D,Engineer,PhD,Married,Pune,164832,7,11,7,5,4,1,6,No,No,2020-01-15,
187,23,Female,R&D,Specialist,High School,Single,Pune,53397,13,9,9,4,4,2,8,No,No,2021-09-13,
188,32,Male,Sales,Associate,Masters,Married,Chennai,128856,19,11,8,1,3,1,4,No,No,2014-07-27,
189,48,Male,Finance,Manager,Bachelors,Divorced,Pune,103310,14,5,3,3,2,2,1,Yes,No,2017-01-31,
190,46,Male,Marketing,Engineer,Bachelors,Single,Chennai,178492,0,6,2,1,2,1,4,Yes,No,2011-04-30,
191,34,Female,R&D,Specialist,High School,Married,Hyderabad,176683,9,3,4,1,2,4,1,No,Yes,2013-04-16,2017-09-20
192,59,Female,Operations,Executive,PhD,Married,Bangalore,140030,14,10,1,2,3,4,5,Yes,No,2015-12-01,
193,36,Other,Operations,Analyst,PhD,Married,Chennai,21969,9,11,6,4,4,2,4,Yes,Yes,2011-08-26,2018-11-01
194,52,Female,HR,Engineer,PhD,Single,Mumbai,33669,4,14,5,3,3,2,0,No,No,2014-12-31,
195,30,Female,Operations,Analyst,High School,Single,Delhi,48625,16,9,7,4,3,4,0,Yes,No,2022-05-02,
196,24,Other,R&D,Analyst,Bachelors,Married,Mumbai,121376,18,14,4,1,4,1,8,Yes,No,2013-03-21,
197,26,Other,R&D,Specialist,PhD,Single,Delhi,25704,0,8,8,3,4,1,8,Yes,No,2015-12-27,
198,31,Female,HR,Manager,Masters,Divorced,Bangalore,176995,1,12,5,4,2,4,5,No,No,2013-04-22,
199,33,Male,Finance,Engineer,High School,Married,Mumbai,119304,18,12,0,2,4,2,5,No,No,2014-08-15,
200,21,Other,Sales,Analyst,Masters,Married,Delhi,47723,6,14,4,4,3,4,8,No,No,2019-05-01,
201,55,Female,Finance,Associate,Bachelors,Single,Bangalore,173515,5,9,2,1,4,2,9,No,No,2021-05-31,
202,41,Other,HR,Specialist,Bachelors,Divorced,Bangalore,26471,15,1,5,5,4,1,9,Yes,No,2010-04-09,
203,57,Other,Marketing,Associate,Masters,Single,Hyderabad,178670,11,3,6,5,2,2,1,No,Yes,2016-06-27,2020-03-31
204,41,Male,R&D,Engineer,PhD,Single,Delhi,184246,10,6,4,4,4,3,8,No,No,2021-08-11,
205,24,Other,Marketing,Engineer,High School,Divorced,Bangalore,188722,1,13,3,3,4,1,3,No,No,2019-08-20,
206,48,Female,Operations,Analyst,Bachelors,Divorced,Hyderabad,182082,7,9,3,2,2,2,1,Yes,No,2023-11-20,
207,45,Male,IT,Analyst,PhD,Divorced,Hyderabad,106365,10,6,9,2,3,1,6,Yes,No,2016-09-24,
208,56,Other,R&D,Associate,PhD,Married,Pune,139891,3,5,6,4,2,1,7,No,No,2014-02-14,
209,33,Male,HR,Manager,High School,Divorced,Hyderabad,174741,8,9,8,1,3,2,7,No,Yes,2011-10-16,2020-04-28
210,28,Female,Sales,Manager,Masters,Married,Mumbai,139503,16,9,4,3,4,2,7,No,No,2014-07-23,
211,30,Male,IT,Executive,Masters,Married,Mumbai,108920,17,2,3,3,2,1,6,No,No,2021-03-11,
212,55,Female,Finance,Analyst,Masters,Single,Pune,37633,0,6,4,1,1,2,4,No,Yes,2010-04-03,2012-05-11
213,52,Other,Marketing,Manager,Bachelors,Single,Pune,111658,9,8,8,1,2,1,1,Yes,No,2011-01-20,
214,38,Female,IT,Specialist,PhD,Divorced,Hyderabad,114018,9,5,6,3,1,1,6,No,No,2017-01-07,
215,24,Male,Sales,Manager,PhD,Married,Pune,168697,5,9,6,1,1,2,3,Yes,No,2022-12-28,
216,23,Other,Finance,Executive,Bachelors,Married,Delhi,36456,7,0,5,1,1,3,3,No,No,2022-09-07,
217,25,Male,Finance,Executive,Masters,Single,Bangalore,56378,7,5,7,5,2,3,5,Yes,No,2020-12-23,
218,42,Female,Finance,Executive,Bachelors,Married,Delhi,156321,11,1,5,4,1,3,1,No,No,2016-10-22,
219,42,Female,Marketing,Engineer,High School,Divorced,Bangalore,195915,3,4,8,2,3,4,9,Yes,No,2013-03-12,
220,36,Male,HR,Analyst,Bachelors,Single,Pune,88619,16,11,7,5,4,3,6,No,No,2022-08-18,
221,25,Other,Marketing,Manager,Bachelors,Single,Chennai,192395,0,8,4,2,4,2,5,Yes,Yes,2023-08-29,2023-10-14
222,53,Male,Finance,Engineer,High School,Married,Hyderabad,135700,15,11,5,3,4,2,3,No,No,2015-10-08,
223,22,Male,Operations,Executive,Masters,Divorced,Chennai,55585,8,0,2,4,4,2,6,No,No,2011-09-24,
224,26,Female,R&D,Specialist,Masters,Married,Mumbai,103362,10,14,5,2,4,1,3,Yes,No,2010-08-01,
225,58,Female,R&D,Associate,Bachelors,Single,Bangalore,45169,12,2,7,2,2,2,5,Yes,No,2019-05-01,
226,34,Female,Finance,Specialist,Masters,Married,Delhi,98222,2,1,1,1,3,2,3,No,No,2015-09-30,
227,22,Female,Finance,Specialist,High School,Divorced,Delhi,94520,0,3,0,2,2,4,5,No,No,2015-01-18,
228,55,Female,HR,Associate,High School,Married,Bangalore,43429,12,4,1,3,4,1,1,No,No,2013-12-26,
229,32,Female,HR,Executive,High School,Single,Delhi,27967,12,14,3,4,2,1,5,Yes,No,2010-07-11,
